iter	Passed	Remaining
0	82	82836
1	134	66920
2	182	60663
3	221	55251
4	253	50371
5	300	49816
6	380	53944
7	581	72147
8	699	77036
9	833	82496
10	889	79960
11	937	77217
12	991	75247
13	1038	73132
14	1084	71237
15	1133	69708
16	1179	68178
17	1229	67082
18	1280	66091
19	1332	65274
20	1385	64604
21	1439	63980
22	1488	63241
23	1539	62603
24	1586	61879
25	1636	61296
26	1686	60768
27	1737	60331
28	1787	59862
29	1841	59530
30	1891	59126
31	1938	58644
32	1989	58290
33	2038	57907
34	2087	57560
35	2139	57287
36	2185	56876
37	2233	56538
38	2284	56303
39	2336	56072
40	2387	55846
41	2434	55535
42	2484	55292
43	2529	54957
44	2579	54737
45	2631	54574
46	2678	54313
47	2726	54082
48	2774	53850
49	2822	53624
50	2870	53414
51	2914	53128
52	2948	52680
53	3014	52802
54	3067	52704
55	3120	52600
56	3173	52501
57	3222	52341
58	3273	52205
59	3318	51995
60	3369	51871
61	3413	51637
62	3461	51480
63	3504	51257
64	3557	51176
65	3609	51082
66	3646	50776
67	3679	50432
68	3726	50279
69	3772	50122
70	3821	50004
71	3870	49887
72	3917	49743
73	3962	49586
74	4009	49450
75	4055	49310
76	4104	49198
77	4144	48987
78	4176	48692
79	4222	48558
80	4274	48501
81	4323	48402
82	4372	48310
83	4419	48189
84	4466	48076
85	4513	47969
86	4563	47894
87	4615	47837
88	4664	47746
89	4711	47637
90	4758	47534
91	4810	47477
92	4861	47414
93	4905	47277
94	4955	47203
95	5000	47090
96	5038	46903
97	5082	46781
98	5119	46592
99	5197	46773
100	5245	46694
101	5274	46437
102	5347	46573
103	5396	46491
104	5432	46307
105	5466	46104
106	5509	45978
107	5557	45902
108	5608	45841
109	5653	45739
110	5696	45625
111	5745	45551
112	5799	45524
113	5848	45457
114	5893	45354
115	5928	45177
116	5963	45009
117	6011	44931
118	6059	44861
119	6104	44763
120	6146	44653
121	6194	44577
122	6241	44505
123	6284	44399
124	6318	44229
125	6366	44162
126	6407	44045
127	6455	43977
128	6505	43923
129	6555	43871
130	6606	43827
131	6654	43759
132	6700	43678
133	6746	43602
134	6792	43519
135	6839	43452
136	6887	43388
137	6934	43315
138	6982	43252
139	7033	43207
140	7082	43147
141	7125	43053
142	7183	43048
143	7233	42997
144	7262	42821
145	7303	42722
146	7351	42656
147	7397	42587
148	7443	42510
149	7493	42460
150	7539	42393
151	7585	42321
152	7634	42263
153	7683	42209
154	7734	42163
155	7784	42118
156	7833	42059
157	7881	42002
158	7932	41959
159	7983	41914
160	8030	41847
161	8073	41762
162	8105	41623
163	8146	41526
164	8197	41485
165	8245	41426
166	8290	41354
167	8337	41288
168	8387	41244
169	8439	41204
170	8487	41149
171	8535	41090
172	8586	41044
173	8634	40989
174	8686	40948
175	8755	40993
176	8798	40909
177	8859	40914
178	8909	40864
179	8932	40691
180	8986	40660
181	9028	40577
182	9074	40512
183	9119	40444
184	9172	40409
185	9221	40356
186	9267	40293
187	9315	40234
188	9357	40154
189	9392	40043
190	9426	39925
191	9471	39858
192	9518	39801
193	9569	39755
194	9623	39728
195	9674	39684
196	9721	39624
197	9773	39588
198	9820	39529
199	9869	39477
200	9921	39440
201	9972	39396
202	10052	39465
203	10104	39426
204	10158	39396
205	10210	39355
206	10253	39281
207	10299	39218
208	10347	39162
209	10402	39134
210	10454	39093
211	10500	39029
212	10549	38978
213	10598	38928
214	10634	38827
215	10675	38747
216	10719	38679
217	10766	38619
218	10814	38567
219	10860	38506
220	10910	38460
221	10964	38426
222	11010	38364
223	11083	38397
224	11121	38306
225	11186	38312
226	11236	38262
227	11287	38219
228	11339	38177
229	11393	38142
230	11444	38098
231	11489	38034
232	11538	37983
233	11583	37919
234	11633	37869
235	11683	37824
236	11729	37763
237	11754	37633
238	11798	37566
239	11847	37515
240	11899	37475
241	11949	37429
242	11998	37379
243	12076	37417
244	12130	37382
245	12179	37331
246	12226	37274
247	12275	37223
248	12330	37188
249	12381	37144
250	12430	37092
251	12482	37050
252	12537	37016
253	12588	36972
254	12642	36934
255	12696	36899
256	12757	36882
257	12792	36791
258	12839	36734
259	12891	36692
260	12944	36650
261	12990	36590
262	13039	36541
263	13088	36490
264	13136	36436
265	13187	36389
266	13235	36336
267	13289	36297
268	13332	36229
269	13387	36196
270	13439	36151
271	13486	36095
272	13534	36042
273	13580	35982
274	13631	35938
275	13685	35899
276	13735	35851
277	13784	35800
278	13830	35740
279	13880	35693
280	13947	35686
281	13985	35609
282	14046	35586
283	14079	35497
284	14153	35508
285	14204	35461
286	14252	35406
287	14302	35358
288	14354	35316
289	14405	35267
290	14454	35216
291	14509	35179
292	14559	35131
293	14612	35090
294	14665	35048
295	14730	35035
296	14770	34962
297	14815	34900
298	14862	34845
299	14912	34796
300	14958	34737
301	15003	34677
302	15054	34629
303	15106	34584
304	15151	34526
305	15196	34466
306	15243	34409
307	15287	34348
308	15338	34301
309	15388	34252
310	15439	34205
311	15484	34145
312	15537	34104
313	15586	34052
314	15639	34010
315	15686	33954
316	15735	33902
317	15787	33857
318	15827	33788
319	15871	33727
320	15910	33654
321	15954	33594
322	16000	33536
323	16050	33489
324	16098	33435
325	16147	33383
326	16196	33334
327	16247	33286
328	16295	33235
329	16344	33184
330	16396	33138
331	16447	33093
332	16495	33040
333	16542	32986
334	16593	32939
335	16647	32898
336	16694	32844
337	16745	32796
338	16794	32747
339	16845	32699
340	16896	32654
341	16944	32600
342	16994	32552
343	17046	32508
344	17095	32457
345	17151	32420
346	17196	32361
347	17246	32312
348	17295	32261
349	17338	32199
350	17390	32155
351	17443	32111
352	17489	32055
353	17534	31997
354	17582	31945
355	17629	31891
356	17675	31835
357	17724	31785
358	17777	31741
359	17823	31686
360	17872	31636
361	17921	31585
362	17971	31536
363	18024	31493
364	18071	31439
365	18124	31395
366	18175	31348
367	18225	31299
368	18278	31256
369	18327	31206
370	18379	31160
371	18430	31114
372	18481	31066
373	18533	31022
374	18582	30970
375	18631	30920
376	18686	30880
377	18734	30827
378	18817	30833
379	18867	30784
380	18917	30735
381	18966	30684
382	19018	30638
383	19068	30589
384	19117	30537
385	19162	30481
386	19212	30432
387	19263	30385
388	19313	30335
389	19364	30287
390	19414	30239
391	19461	30185
392	19512	30137
393	19556	30079
394	19594	30011
395	19628	29938
396	19678	29889
397	19754	29880
398	19804	29831
399	19837	29756
400	19893	29715
401	19926	29641
402	20005	29635
403	20039	29563
404	20081	29501
405	20122	29440
406	20167	29383
407	20217	29335
408	20267	29286
409	20314	29233
410	20363	29182
411	20416	29137
412	20466	29089
413	20514	29037
414	20567	28992
415	20620	28947
416	20699	28939
417	20749	28891
418	20794	28834
419	20832	28768
420	20874	28707
421	20934	28672
422	20993	28636
423	21040	28583
424	21074	28512
425	21113	28449
426	21157	28391
427	21210	28346
428	21263	28302
429	21310	28249
430	21383	28230
431	21420	28164
432	21475	28121
433	21517	28062
434	21563	28008
435	21605	27948
436	21669	27917
437	21692	27834
438	21753	27798
439	21792	27736
440	21840	27684
441	21888	27632
442	21938	27583
443	21991	27538
444	22038	27485
445	22083	27430
446	22131	27379
447	22185	27335
448	22239	27291
449	22284	27236
450	22332	27185
451	22387	27142
452	22465	27127
453	22515	27078
454	22569	27033
455	22619	26985
456	22671	26937
457	22722	26890
458	22769	26837
459	22816	26784
460	22862	26730
461	22911	26681
462	22965	26635
463	23014	26586
464	23061	26533
465	23105	26477
466	23158	26431
467	23208	26382
468	23252	26326
